2026-01-31 11:23:58,673 | INFO | Historical Data | Found 3544 symbols
2026-01-31 11:25:56,612 | INFO | Historical Data | Found 9165 symbols
2026-01-31 11:25:56,613 | INFO | Historical Data | [1/9165] Downloading NIFTY 50
2026-01-31 11:25:56,737 | INFO | Historical Data | [2/9165] Downloading NIFTY MIDCAP 100
2026-01-31 11:25:56,861 | INFO | Historical Data | [3/9165] Downloading NIFTY BANK
2026-01-31 11:25:56,986 | INFO | Historical Data | [4/9165] Downloading NIFTY 100
2026-01-31 11:25:57,110 | INFO | Historical Data | [5/9165] Downloading NIFTY DIV OPPS 50
2026-01-31 11:25:57,253 | INFO | Historical Data | [6/9165] Downloading NIFTY COMMODITIES
2026-01-31 11:25:57,383 | INFO | Historical Data | [7/9165] Downloading NIFTY CONSUMPTION
2026-01-31 11:25:57,536 | INFO | Historical Data | [8/9165] Downloading NIFTY FIN SERVICE
2026-01-31 11:25:57,662 | INFO | Historical Data | [9/9165] Downloading NIFTY50 PR 2X LEV
2026-01-31 11:25:57,787 | INFO | Historical Data | [10/9165] Downloading NIFTY50 PR 1X INV
2026-01-31 11:25:57,916 | INFO | Historical Data | [11/9165] Downloading NIFTY50 TR 2X LEV
2026-01-31 11:25:58,041 | INFO | Historical Data | [12/9165] Downloading NIFTY50 TR 1X INV
2026-01-31 11:25:58,173 | INFO | Historical Data | [13/9165] Downloading NIFTY IT
2026-01-31 11:25:58,295 | INFO | Historical Data | [14/9165] Downloading NIFTY MIDCAP 50
2026-01-31 11:25:58,419 | INFO | Historical Data | [15/9165] Downloading NIFTY REALTY
2026-01-31 11:25:58,544 | INFO | Historical Data | [16/9165] Downloading NIFTY INFRA
2026-01-31 11:25:58,673 | INFO | Historical Data | [17/9165] Downloading NIFTY ENERGY
2026-01-31 11:25:58,784 | INFO | Historical Data | [18/9165] Downloading NIFTY FMCG
2026-01-31 11:25:58,901 | INFO | Historical Data | [19/9165] Downloading NIFTY MNC
2026-01-31 11:25:59,029 | INFO | Historical Data | [20/9165] Downloading NIFTY PHARMA
2026-01-31 11:25:59,144 | INFO | Historical Data | [21/9165] Downloading NIFTY PSE
2026-01-31 11:25:59,273 | INFO | Historical Data | [22/9165] Downloading NIFTY PSU BANK
2026-01-31 11:25:59,390 | INFO | Historical Data | [23/9165] Downloading NIFTY SERV SECTOR
2026-01-31 11:25:59,520 | INFO | Historical Data | [24/9165] Downloading NIFTY AUTO
2026-01-31 11:25:59,640 | INFO | Historical Data | [25/9165] Downloading NIFTY METAL
2026-01-31 11:25:59,849 | INFO | Historical Data | [26/9165] Downloading NIFTY MEDIA
2026-01-31 11:25:59,977 | INFO | Historical Data | [27/9165] Downloading NIFTY 200
2026-01-31 11:26:00,098 | INFO | Historical Data | [28/9165] Downloading HANGSENG BEES-NAV
2026-01-31 11:26:00,238 | INFO | Historical Data | [29/9165] Downloading INDIA VIX
2026-01-31 11:26:00,359 | INFO | Historical Data | [30/9165] Downloading NIFTY50 DIV POINT
2026-01-31 11:26:00,490 | INFO | Historical Data | [31/9165] Downloading NIFTY200 QUALTY30
2026-01-31 11:26:00,640 | INFO | Historical Data | [32/9165] Downloading NIFTY ALPHA 50
2026-01-31 11:26:00,768 | INFO | Historical Data | [33/9165] Downloading NIFTY MIDCAP 150
2026-01-31 11:26:00,911 | INFO | Historical Data | [34/9165] Downloading NIFTY MIDSML 400
2026-01-31 11:26:01,153 | INFO | Historical Data | [35/9165] Downloading NIFTY SMLCAP 50
2026-01-31 11:26:01,290 | INFO | Historical Data | [36/9165] Downloading NIFTY SMLCAP 100
2026-01-31 11:26:01,407 | INFO | Historical Data | [37/9165] Downloading NIFTY SMLCAP 250
2026-01-31 11:26:01,540 | INFO | Historical Data | [38/9165] Downloading NIFTY50 VALUE 20
2026-01-31 11:26:01,666 | INFO | Historical Data | [39/9165] Downloading NIFTY100 LIQ 15
2026-01-31 11:26:01,795 | INFO | Historical Data | [40/9165] Downloading NIFTY 500
2026-01-31 11:26:01,917 | INFO | Historical Data | [41/9165] Downloading NIFTY CPSE
2026-01-31 11:26:02,048 | INFO | Historical Data | [42/9165] Downloading NIFTY GS 4 8YR
2026-01-31 11:26:02,172 | INFO | Historical Data | [43/9165] Downloading NIFTY GS 8 13YR
2026-01-31 11:26:02,325 | INFO | Historical Data | [44/9165] Downloading NIFTY GS 10YR
2026-01-31 11:26:02,457 | INFO | Historical Data | [45/9165] Downloading NIFTY GS 10YR CLN
2026-01-31 11:26:02,598 | INFO | Historical Data | [46/9165] Downloading NIFTY GS 11 15YR
2026-01-31 11:26:02,728 | INFO | Historical Data | [47/9165] Downloading NIFTY GS 15YRPLUS
2026-01-31 11:26:02,858 | INFO | Historical Data | [48/9165] Downloading NIFTY GS COMPSITE
2026-01-31 11:26:02,991 | INFO | Historical Data | [49/9165] Downloading NIFTY GROWSECT 15
2026-01-31 11:26:03,155 | INFO | Historical Data | [50/9165] Downloading NIFTY MID LIQ 15
2026-01-31 11:26:03,284 | INFO | Historical Data | [51/9165] Downloading NIFTY NEXT 50
2026-01-31 11:26:03,405 | INFO | Historical Data | [52/9165] Downloading NIFTY PVT BANK
2026-01-31 11:26:03,527 | INFO | Historical Data | [53/9165] Downloading NIFTY50 EQL WGT
2026-01-31 11:26:03,649 | INFO | Historical Data | [54/9165] Downloading NIFTY100 EQL WGT
2026-01-31 11:26:03,769 | INFO | Historical Data | [55/9165] Downloading NIFTY100 LOWVOL30
2026-01-31 11:26:03,913 | INFO | Historical Data | [56/9165] Downloading NIFTY100 QUALTY30
2026-01-31 11:26:04,079 | INFO | Historical Data | [57/9165] Downloading NIFTY ALPHALOWVOL
2026-01-31 11:26:04,228 | INFO | Historical Data | [58/9165] Downloading NIFTY MID SELECT
2026-01-31 11:26:04,349 | INFO | Historical Data | [59/9165] Downloading NIFTY FINSRV25 50
2026-01-31 11:26:04,473 | INFO | Historical Data | [60/9165] Downloading NIFTY HEALTHCARE
2026-01-31 11:26:04,599 | INFO | Historical Data | [61/9165] Downloading NIFTY CONSR DURBL
2026-01-31 11:26:04,731 | INFO | Historical Data | [62/9165] Downloading NIFTY OIL AND GAS
2026-01-31 11:26:04,861 | INFO | Historical Data | [63/9165] Downloading NIFTY500 MULTICAP
2026-01-31 11:26:04,992 | INFO | Historical Data | [64/9165] Downloading NIFTY LARGEMID250
2026-01-31 11:26:05,136 | INFO | Historical Data | [65/9165] Downloading NIFTY100ESGSECLDR
2026-01-31 11:26:05,270 | INFO | Historical Data | [66/9165] Downloading NIFTY200MOMENTM30
2026-01-31 11:26:05,393 | INFO | Historical Data | [67/9165] Downloading NIFTY TOTAL MKT
2026-01-31 11:26:05,598 | INFO | Historical Data | [68/9165] Downloading NIFTY MICROCAP250
2026-01-31 11:26:05,727 | INFO | Historical Data | [69/9165] Downloading NIFTY M150 QLTY50
2026-01-31 11:26:05,848 | INFO | Historical Data | [70/9165] Downloading NIFTY INDIA MFG
2026-01-31 11:26:05,977 | INFO | Historical Data | [71/9165] Downloading NIFTY IND DIGITAL
2026-01-31 11:26:06,117 | INFO | Historical Data | [72/9165] Downloading NIFTY100 ESG
2026-01-31 11:26:06,246 | INFO | Historical Data | [73/9165] Downloading NIFTY200 ALPHA 30
2026-01-31 11:26:06,381 | INFO | Historical Data | [74/9165] Downloading NIFTYM150MOMNTM50
2026-01-31 11:26:06,525 | INFO | Historical Data | [75/9165] Downloading NIFTY TATA 25 CAP
2026-01-31 11:26:06,778 | INFO | Historical Data | [76/9165] Downloading NIFTY MULTI MFG
2026-01-31 11:26:06,925 | INFO | Historical Data | [77/9165] Downloading NIFTY MULTI INFRA
2026-01-31 11:26:07,044 | INFO | Historical Data | [78/9165] Downloading NIFTY MIDSML HLTH
2026-01-31 11:26:07,180 | INFO | Historical Data | [79/9165] Downloading NIFTY AQL 30
2026-01-31 11:26:07,306 | INFO | Historical Data | [80/9165] Downloading NIFTY AQLV 30
2026-01-31 11:26:07,440 | INFO | Historical Data | [81/9165] Downloading NIFTY CORP MAATR
2026-01-31 11:26:07,562 | INFO | Historical Data | [82/9165] Downloading NIFTY EV
2026-01-31 11:26:07,690 | INFO | Historical Data | [83/9165] Downloading NIFTY HIGHBETA 50
2026-01-31 11:26:07,813 | INFO | Historical Data | [84/9165] Downloading NIFTY LOW VOL 50
2026-01-31 11:26:07,936 | INFO | Historical Data | [85/9165] Downloading NIFTY MOBILITY
2026-01-31 11:26:08,068 | INFO | Historical Data | [86/9165] Downloading NIFTY MULTI MQ 50
2026-01-31 11:26:08,202 | INFO | Historical Data | [87/9165] Downloading NIFTY NEW CONSUMP
2026-01-31 11:26:08,341 | INFO | Historical Data | [88/9165] Downloading NIFTY QLTY LV 30
2026-01-31 11:26:08,468 | INFO | Historical Data | [89/9165] Downloading NIFTY SML250 Q50
2026-01-31 11:26:08,597 | INFO | Historical Data | [90/9165] Downloading NIFTY TOP 10 EW
2026-01-31 11:26:08,754 | INFO | Historical Data | [91/9165] Downloading NIFTY TOP 15 EW
2026-01-31 11:26:08,881 | INFO | Historical Data | [92/9165] Downloading NIFTY TOP 20 EW
2026-01-31 11:26:09,033 | INFO | Historical Data | [93/9165] Downloading NIFTY100 ALPHA 30
2026-01-31 11:26:09,163 | INFO | Historical Data | [94/9165] Downloading NIFTY100 ENH ESG
2026-01-31 11:26:09,314 | INFO | Historical Data | [95/9165] Downloading NIFTY200 VALUE 30
2026-01-31 11:26:09,439 | INFO | Historical Data | [96/9165] Downloading NIFTY500 EW
2026-01-31 11:26:09,598 | INFO | Historical Data | [97/9165] Downloading NIFTY500 VALUE 50
2026-01-31 11:26:09,743 | INFO | Historical Data | [98/9165] Downloading NIFTY500MOMENTM50
2026-01-31 11:26:09,875 | INFO | Historical Data | [99/9165] Downloading NIFTYMS400 MQ 100
2026-01-31 11:26:10,009 | INFO | Historical Data | [100/9165] Downloading NIFTYSML250MQ 100
2026-01-31 11:26:10,150 | INFO | Historical Data | [101/9165] Downloading NIFTY COREHOUSING
2026-01-31 11:26:10,274 | INFO | Historical Data | [102/9165] Downloading NIFTY FINSEREXBNK
2026-01-31 11:26:10,405 | INFO | Historical Data | [103/9165] Downloading NIFTY HOUSING
2026-01-31 11:26:10,545 | INFO | Historical Data | [104/9165] Downloading NIFTY IPO
2026-01-31 11:26:10,677 | INFO | Historical Data | [105/9165] Downloading NIFTY MS FIN SERV
2026-01-31 11:26:10,802 | INFO | Historical Data | [106/9165] Downloading NIFTY MS IND CONS
2026-01-31 11:26:10,943 | INFO | Historical Data | [107/9165] Downloading NIFTY MS IT TELCM
2026-01-31 11:26:11,068 | INFO | Historical Data | [108/9165] Downloading NIFTY NONCYC CONS
2026-01-31 11:26:11,284 | INFO | Historical Data | [109/9165] Downloading NIFTY RURAL
2026-01-31 11:26:11,415 | INFO | Historical Data | [110/9165] Downloading NIFTY SHARIAH 25
2026-01-31 11:26:11,553 | INFO | Historical Data | [111/9165] Downloading NIFTY TRANS LOGIS
2026-01-31 11:26:11,681 | INFO | Historical Data | [112/9165] Downloading NIFTY50 SHARIAH
2026-01-31 11:26:11,810 | INFO | Historical Data | [113/9165] Downloading NIFTY500 LMS EQL
2026-01-31 11:26:11,938 | INFO | Historical Data | [114/9165] Downloading NIFTY500 SHARIAH
2026-01-31 11:26:12,065 | INFO | Historical Data | [115/9165] Downloading NIFTY IND DEFENCE
2026-01-31 11:26:12,207 | INFO | Historical Data | [116/9165] Downloading NIFTY IND TOURISM
2026-01-31 11:26:12,355 | INFO | Historical Data | [117/9165] Downloading NIFTY CAPITAL MKT
2026-01-31 11:26:12,487 | INFO | Historical Data | [118/9165] Downloading BHARATBOND-APR33
2026-01-31 11:26:12,631 | INFO | Historical Data | [119/9165] Downloading BHARATBOND-APR32
2026-01-31 11:26:12,759 | INFO | Historical Data | [120/9165] Downloading BHARATBOND-APR31
2026-01-31 11:26:12,888 | INFO | Historical Data | [121/9165] Downloading BHARATBOND-APR30
2026-01-31 11:26:13,028 | INFO | Historical Data | [122/9165] Downloading NIFTY500 LOWVOL50
2026-01-31 11:26:13,117 | INFO | Historical Data | [123/9165] Downloading NIFTY500 MQVLV50
2026-01-31 11:26:13,206 | INFO | Historical Data | [124/9165] Downloading NIFTY500 QLTY50
2026-01-31 11:26:13,294 | INFO | Historical Data | [125/9165] Downloading NIFTY50 USD
2026-01-31 11:26:13,425 | INFO | Historical Data | [126/9165] Downloading NIFTY INDIA FPI 150
2026-01-31 11:26:13,511 | INFO | Historical Data | [127/9165] Downloading NIFTY500 FLEXICAP Q30
2026-01-31 11:26:13,610 | INFO | Historical Data | [128/9165] Downloading NIFTY TOTAL MKT MOM QLTY 50
2026-01-31 11:26:13,700 | INFO | Historical Data | [129/9165] Downloading NIFTY SME EMERGE
2026-01-31 11:26:13,831 | INFO | Historical Data | [130/9165] Downloading NIFTY INDIA INTERNET
2026-01-31 11:26:13,921 | INFO | Historical Data | [131/9165] Downloading NIFTY CHEMICALS
2026-01-31 11:26:14,059 | INFO | Historical Data | [132/9165] Downloading NIFTY WAVES
2026-01-31 11:26:14,193 | INFO | Historical Data | [133/9165] Downloading NIFTY INFRALOG
2026-01-31 11:26:14,338 | INFO | Historical Data | [134/9165] Downloading NIFTY500 HEALTHCARE
2026-01-31 11:26:14,429 | INFO | Historical Data | [135/9165] Downloading GOLDSTAR-SM
2026-01-31 11:26:14,547 | INFO | Historical Data | [136/9165] Downloading 21STCENMGM
2026-01-31 11:26:14,668 | INFO | Historical Data | [137/9165] Downloading AARTIIND
2026-01-31 11:26:14,784 | INFO | Historical Data | [138/9165] Downloading ABB
2026-01-31 11:26:14,899 | INFO | Historical Data | [139/9165] Downloading 656KA30-SG
2026-01-31 11:26:14,989 | INFO | Historical Data | [140/9165] Downloading GATECHDVR
2026-01-31 11:26:15,125 | INFO | Historical Data | [141/9165] Downloading 66RJ30-SG
2026-01-31 11:26:15,218 | INFO | Historical Data | [142/9165] Downloading STYRENIX
2026-01-31 11:26:15,358 | INFO | Historical Data | [143/9165] Downloading 66GA30A-SG
2026-01-31 11:26:15,448 | INFO | Historical Data | [144/9165] Downloading 664UP30-SG
2026-01-31 11:26:15,537 | INFO | Historical Data | [145/9165] Downloading ACC
